"",".id","parentName","parentTsn","rankName","taxonName","tsn"
"1","Gadus morhua","","","Kingdom","Animalia","202423"
"2","Gadus morhua","Animalia","202423","Phylum","Chordata","158852"
"3","Gadus morhua","Chordata","158852","Subphylum","Vertebrata","331030"
"4","Gadus morhua","Vertebrata","331030","Superclass","Osteichthyes","161030"
"5","Gadus morhua","Osteichthyes","161030","Class","Actinopterygii","161061"
"6","Gadus morhua","Actinopterygii","161061","Subclass","Neopterygii","553120"
"7","Gadus morhua","Neopterygii","553120","Infraclass","Teleostei","161105"
"8","Gadus morhua","Teleostei","161105","Superorder","Paracanthopterygii","164385"
"9","Gadus morhua","Paracanthopterygii","164385","Order","Gadiformes","164665"
"10","Gadus morhua","Gadiformes","164665","Family","Gadidae","164701"
"11","Gadus morhua","Gadidae","164701","Subfamily","Gadinae","550569"
"12","Gadus morhua","Gadinae","550569","Genus","Gadus","164710"
"13","Gadus morhua","Gadus","164710","Species","Gadus morhua","164712"
"14","Thunnus albacares","","","Kingdom","Animalia","202423"
"15","Thunnus albacares","Animalia","202423","Phylum","Chordata","158852"
"16","Thunnus albacares","Chordata","158852","Subphylum","Vertebrata","331030"
"17","Thunnus albacares","Vertebrata","331030","Superclass","Osteichthyes","161030"
"18","Thunnus albacares","Osteichthyes","161030","Class","Actinopterygii","161061"
"19","Thunnus albacares","Actinopterygii","161061","Subclass","Neopterygii","553120"
"20","Thunnus albacares","Neopterygii","553120","Infraclass","Teleostei","161105"
"21","Thunnus albacares","Teleostei","161105","Superorder","Acanthopterygii","166082"
"22","Thunnus albacares","Acanthopterygii","166082","Order","Perciformes","167640"
"23","Thunnus albacares","Perciformes","167640","Suborder","Scombroidei","172353"
"24","Thunnus albacares","Scombroidei","172353","Family","Scombridae","172398"
"25","Thunnus albacares","Scombridae","172398","Subfamily","Scombrinae","638248"
"26","Thunnus albacares","Scombrinae","638248","Tribe","Thunnini","638252"
"27","Thunnus albacares","Thunnini","638252","Genus","Thunnus","172418"
"28","Thunnus albacares","Thunnus","172418","Subgenus","Thunnus (Neothunnus)","613008"
"29","Thunnus albacares","Thunnus (Neothunnus)","613008","Species","Thunnus albacares","172423"
"30","Ostreola conchaphila","","","Species","Ostreola conchaphila","79895"
"31","Todarodes pacificus","","","Kingdom","Animalia","202423"
"32","Todarodes pacificus","Animalia","202423","Phylum","Mollusca","69458"
"33","Todarodes pacificus","Mollusca","69458","Class","Cephalopoda","82326"
"34","Todarodes pacificus","Cephalopoda","82326","Subclass","Coleoidea","82330"
"35","Todarodes pacificus","Coleoidea","82330","Superorder","Decabrachia","555706"
"36","Todarodes pacificus","Decabrachia","555706","Order","Teuthida","82367"
"37","Todarodes pacificus","Teuthida","82367","Suborder","Oegopsina","82390"
"38","Todarodes pacificus","Oegopsina","82390","Family","Ommastrephidae","82514"
"39","Todarodes pacificus","Ommastrephidae","82514","Subfamily","Todarodinae","555746"
"40","Todarodes pacificus","Todarodinae","555746","Genus","Todarodes","82515"
"41","Todarodes pacificus","Todarodes","82515","Species","Todarodes pacificus","557230"
